GeneSymbol	gene_chr	gene_tss	gene_tss500bp	is_ubiqutious_uniform
A1BG	chr19	58353249	58353749	False
A1BG-AS1	chr19	58351719	58352219	False
A1CF	chr10	50885425	50885925	False
A2M	chr12	9115979	9116479	False
A2M-AS1	chr12	9064926	9065426	False
A2ML1	chr12	8822221	8822721	False
A2MP1	chr12	9233957	9234457	False
A3GALT2	chr1	33320848	33321348	False
A4GALT	chr22	42720660	42721160	False
A4GNT	chr3	138132137	138132637	False
AA06	chr17	33533510	33534010	False
AAAS	chr12	53321378	53321878	True
AACS	chr12	125065116	125065616	True
AACSP1	chr5	178818185	178818685	False
AADAC	chr3	151813822	151814322	False
AADACL2	chr3	151733665	151734165	False
AADACL2-AS1	chr3	151927925	151928425	False
AADACL3	chr1	12715864	12716364	False
AADACL4	chr1	12644296	12644796	False
AADACP1	chr3	151770205	151770705	False
AADAT	chr4	170089971	170090471	False
AAED1	chr9	96655067	96655567	False
AAGAB	chr15	67254486	67254986	True
AAK1	chr2	69643595	69644095	False
AAMDC	chr11	77820863	77821363	False
AAMP	chr2	218269959	218270459	False
AANAT	chr17	76467297	76467797	False
AAR2	chr20	36236166	36236666	False
AARD	chr8	116937974	116938474	False
AARS	chr16	70289259	70289759	True
AARS2	chr6	44313076	44313576	False
AARSD1	chr17	42964248	42964748	False
AASDH	chr4	56387258	56387758	False
AASDHPPT	chr11	106077314	106077814	True
AASS	chr7	122144040	122144540	False
AATBC	chr21	43812317	43812817	False
AATF	chr17	36948624	36949124	True
AATK	chr17	81131698	81132198	False
AATK-AS1	chr17	81165256	81165756	False
ABALON	chr20	31721256	31721756	False
ABAT	chr16	8712718	8713218	False
ABCA1	chr9	104927996	104928496	False
ABCA10	chr17	69244565	69245065	False
ABCA11P	chr4	473959	474459	True
ABCA12	chr2	215138178	215138678	False
ABCA13	chr7	48171209	48171709	False
ABCA17P	chr16	2340671	2341171	False
ABCA2	chr9	137028038	137028538	False
ABCA3	chr16	2340496	2340996	False
ABCA4	chr1	94120899	94121399	False
ABCA5	chr17	69315383	69315883	False
ABCA6	chr17	69141624	69142124	False
ABCA7	chr19	1039852	1040352	False
ABCA8	chr17	68955142	68955642	False
ABCA9	chr17	69060745	69061245	False
ABCA9-AS1	chr17	69004463	69004963	False
ABCB1	chr7	87713073	87713573	False
ABCB10	chr1	229558445	229558945	False
ABCB11	chr2	169031073	169031573	False
ABCB4	chr7	87475453	87475953	False
ABCB5	chr7	20647092	20647592	False
ABCB6	chr2	219218740	219219240	False
ABCB7	chrX	75156090	75156590	True
ABCB8	chr7	151028171	151028671	False
ABCB9	chr12	122966259	122966759	False
ABCC1	chr16	15949326	15949826	False
ABCC10	chr6	43431500	43432000	True
ABCC11	chr16	48234927	48235427	False
ABCC12	chr16	48146520	48147020	False
ABCC13	chr21	14273548	14274048	False
ABCC2	chr10	99782347	99782847	False
ABCC3	chr17	50634606	50635106	False
ABCC4	chr13	95301196	95301696	False
ABCC5	chr3	184017710	184018210	False
ABCC5-AS1	chr3	184006087	184006587	False
ABCC6	chr16	16223221	16223721	False
ABCC6P1	chr16	18570997	18571497	False
ABCC6P2	chr16	14824452	14824952	False
ABCC8	chr11	17476595	17477095	False
ABCC9	chr12	21936444	21936944	False
ABCD1	chrX	153724617	153725117	False
ABCD2	chr12	39619791	39620291	False
ABCD3	chr1	94418126	94418626	True
ABCD4	chr14	74302814	74303314	True
ABCE1	chr4	145097753	145098253	True
ABCF1	chr6	30571142	30571642	False
ABCF2	chr7	151227124	151227624	True
ABCF3	chr3	184185824	184186324	True
ABCG1	chr21	42218906	42219406	False
ABCG2	chr4	88158609	88159109	False
ABCG4	chr11	119148789	119149289	False
ABCG5	chr2	43838569	43839069	False
ABCG8	chr2	43838713	43839213	False
ABHD1	chr2	27123538	27124038	False
ABHD10	chr3	111978625	111979125	True
