TargetGene	chr	start	end	averageCorr	averageCorrWeighted	Nchunks	Ncelltypes
A1BG	chr19	58353249	58353749	0.00119500522528132	0.000851869394734356	107	7
A1BG-AS1	chr19	58351719	58352219	0.000154399511744543	0.00022251957500143	47	4
A1CF	chr10	50885425	50885925	0.000243707439390759	5.22498552898704e-05	452	14
A2M	chr12	9115979	9116479	0.107386547719187	0.0972200135752323	432	89
A2M-AS1	chr12	9064926	9065426	0.202894765220346	0.19328455487646	406	111
A2ML1	chr12	8822221	8822721	0.00320867904035473	0.0019005188877261	289	22
A2MP1	chr12	9233957	9234457	-0.000109804865829492	-6.71152388066545e-05	90	4
A3GALT2	chr1	33320848	33321348	0.0122708230322671	0.00959463724328603	458	39
A4GALT	chr22	42720660	42721160	0.0280546876077809	0.0252531645022772	538	72
A4GNT	chr3	138132137	138132637	-2.2911508918342e-05	-1.70125548367934e-05	157	5
AA06	chr17	33533510	33534010	NA	NA	NA	NA
AAAS	chr12	53321378	53321878	0.347822305920768	0.342643679518548	419	130
AACS	chr12	125065116	125065616	0.328455606952882	0.304092445564818	784	130
AACSP1	chr5	178818185	178818685	-0.000166394889068801	-0.000240789990053815	93	6
AADAC	chr3	151813822	151814322	0.00296764327200257	0.00209914638962304	166	12
AADACL2	chr3	151733665	151734165	-0.000198015502568581	-0.000188284027622136	189	8
AADACL2-AS1	chr3	151927925	151928425	-0.00012827290687678	-0.000189334056979251	49	3
AADACL3	chr1	12715864	12716364	0.00297815132410111	0.00202490248850787	219	17
AADACL4	chr1	12644296	12644796	0.000648543087731206	0.000703314871448347	328	12
AADACP1	chr3	151770205	151770705	0.0162168195787791	0.0122887512610521	727	69
AADAT	chr4	170089971	170090471	0.195199839625162	0.181779888292272	941	104
AAED1	chr9	96655067	96655567	0.485842097348449	0.466582906588468	593	126
AAGAB	chr15	67254486	67254986	0.557757388701889	0.577716738402123	981	131
AAK1	chr2	69643595	69644095	0.544968995033046	0.534995808486119	686	131
AAMDC	chr11	77820863	77821363	0.731843729830281	0.738665657394054	546	131
AAMP	chr2	218269959	218270459	0.442525061400275	0.433237116549507	684	131
AANAT	chr17	76467297	76467797	0.00718631731202311	0.00515019635952921	346	33
AAR2	chr20	36236166	36236666	0.171872711200067	0.168864081564081	648	127
AARD	chr8	116937974	116938474	0.0298076080426846	0.0284259213197144	1018	81
AARS	chr16	70289259	70289759	0.636283253013594	0.626116550501935	315	131
AARS2	chr6	44313076	44313576	0.149757715130893	0.141226147471264	689	127
AARSD1	chr17	42964248	42964748	0.0941884626863446	0.0836819452232955	427	117
AASDH	chr4	56387258	56387758	0.700565473859725	0.701633990601011	676	131
AASDHPPT	chr11	106077314	106077814	0.733779715162103	0.729923717826862	336	131
AASS	chr7	122144040	122144540	0.531429471332316	0.531057036660729	980	122
AATBC	chr21	43812317	43812817	0.050308564647292	0.052102953173169	1006	81
AATF	chr17	36948624	36949124	0.673462770651558	0.664081317430523	520	131
AATK	chr17	81131698	81132198	0.000568944793919985	0.000229761547038133	278	18
AATK-AS1	chr17	81165256	81165756	0.00379629602596287	0.00272213755254738	527	51
ABALON	chr20	31721256	31721756	0.525221158391756	0.500405373693574	499	127
ABAT	chr16	8712718	8713218	0.00167735469223118	0.000776175532699544	306	15
ABCA1	chr9	104927996	104928496	0.356724337032978	0.33499311441613	946	126
ABCA10	chr17	69244565	69245065	NA	NA	66	1
ABCA11P	chr4	473959	474459	0.663528860293476	0.647130616108744	643	128
ABCA12	chr2	215138178	215138678	0.00249342246829788	0.00129919216488202	543	31
ABCA13	chr7	48171209	48171709	0.00445535649167573	0.00393760191217427	826	39
ABCA17P	chr16	2340671	2341171	0.0113383066022668	0.00905509418248279	441	65
ABCA2	chr9	137028038	137028538	0.101532004531955	0.0947230425624027	660	108
ABCA3	chr16	2340496	2340996	0.0112907741869571	0.00910650882651192	437	63
ABCA4	chr1	94120899	94121399	4.72609804672897e-05	-0.000122080310556229	449	13
ABCA5	chr17	69315383	69315883	0.00166131791849068	0.00112774025025447	247	9
ABCA6	chr17	69141624	69142124	0.00947694442385448	0.00675139051911258	749	43
ABCA7	chr19	1039852	1040352	0.176374968990667	0.163875154806757	712	131
ABCA8	chr17	68955142	68955642	0.00511179028456275	0.0039476165028344	551	30
ABCA9	chr17	69060745	69061245	0.00444033730282651	0.00347387381939793	657	30
ABCA9-AS1	chr17	69004463	69004963	NA	NA	26	1
ABCB1	chr7	87713073	87713573	-0.000155545358557408	-9.12108332326365e-05	59	3
ABCB10	chr1	229558445	229558945	0.712977646637616	0.706406623325367	630	131
ABCB11	chr2	169031073	169031573	-0.000231459655766056	-0.000238076400005303	291	10
ABCB4	chr7	87475453	87475953	0.0978300454772419	0.101465146784773	465	70
ABCB5	chr7	20647092	20647592	0.00244750710488121	0.00187030631020629	345	18
ABCB6	chr2	219218740	219219240	0.318719693974881	0.296424663820651	465	126
ABCB7	chrX	75156090	75156590	0.660943973375746	0.655805571476096	547	131
ABCB8	chr7	151028171	151028671	0.603432067120222	0.592024517385148	715	131
ABCB9	chr12	122966259	122966759	0.701489755301255	0.702038337211917	714	129
ABCC1	chr16	15949326	15949826	0.210769827019788	0.20352294881858	977	128
ABCC10	chr6	43431500	43432000	0.00434566725592874	0.00500150866020261	72	11
ABCC11	chr16	48234927	48235427	0.00189255199994337	0.00199241671608363	445	12
ABCC12	chr16	48146520	48147020	-8.04039931436967e-05	-0.000118805168563957	121	5
ABCC13	chr21	14273548	14274048	0.0103812624487252	0.010271801923529	677	32
ABCC2	chr10	99782347	99782847	0.018885580899685	0.0132116693971848	281	40
ABCC3	chr17	50634606	50635106	0.137875929881954	0.132313386443181	557	91
ABCC4	chr13	95301196	95301696	0.49581163773862	0.480456364744186	904	126
ABCC5	chr3	184017710	184018210	0.384732649946982	0.390289384657228	656	126
ABCC5-AS1	chr3	184006087	184006587	0.0440500017883095	0.0412720547306275	707	114
ABCC6	chr16	16223221	16223721	0.000471012589273819	0.000485625195078978	52	6
ABCC6P1	chr16	18570997	18571497	NA	NA	NA	NA
ABCC6P2	chr16	14824452	14824952	NA	NA	NA	NA
ABCC8	chr11	17476595	17477095	0.000106757451673242	0.000112695091964522	198	9
ABCC9	chr12	21936444	21936944	NA	NA	35	1
ABCD1	chrX	153724617	153725117	0.486649011012607	0.50687481065579	537	131
ABCD2	chr12	39619791	39620291	0.590557705033523	0.592921008006419	1107	130
ABCD3	chr1	94418126	94418626	0.67193514475858	0.672920619516801	1185	131
ABCD4	chr14	74302814	74303314	0.264065374983112	0.245785113294915	569	128
ABCE1	chr4	145097753	145098253	0.729677767151857	0.72575125320107	638	131
ABCF1	chr6	30571142	30571642	0.249684256152101	0.244755334401404	341	128
ABCF2	chr7	151227124	151227624	0.452944199365844	0.44489692871721	816	131
ABCF3	chr3	184185824	184186324	0.68351784663856	0.678999867254268	413	131
ABCG1	chr21	42218906	42219406	0.12220660373689	0.11557130296878	780	80
ABCG2	chr4	88158609	88159109	0.113260319292135	0.113383817507292	1123	112
ABCG4	chr11	119148789	119149289	0.0197782868521762	0.0163117180093796	407	59
ABCG5	chr2	43838569	43839069	0.000921834286825322	0.000963458330343978	263	12
ABCG8	chr2	43838713	43839213	0.000549357494516332	0.000579346831433021	252	11
ABHD1	chr2	27123538	27124038	0.0327015701072874	0.0379213795204432	498	82
ABHD10	chr3	111978625	111979125	0.66606123171075	0.667199966401834	1013	131
ABHD11	chr7	73738617	73739117	0.3365116041557	0.329659716688395	719	131
ABHD11-AS1	chr7	73734818	73735318	0.287399009552825	0.28383470913654	687	129
ABHD12	chr20	25390732	25391232	0.604358804621275	0.606083086910666	785	131
ABHD12B	chr14	50871909	50872409	0.00243506514278273	0.00183014395512774	278	20
ABHD13	chr13	108218164	108218664	0.672847696951088	0.667694469420605	997	131
ABHD14A	chr3	51974775	51975275	0.201106643295288	0.191472293582005	356	124
ABHD14A-ACY1	chr3	51974775	51975275	0.201106643295288	0.191472293582005	356	124
ABHD14B	chr3	51974380	51974880	0.199718762558285	0.189712677748477	355	124
ABHD15	chr17	29566774	29567274	0.195691270764425	0.188666009696296	748	124
ABHD16A	chr6	31703110	31703610	0.595425288765635	0.596493510769239	236	127
ABHD16B	chr20	63860962	63861462	0.124909570173637	0.127498880375701	479	66
ABHD17A	chr19	1885269	1885769	0.239106482991252	0.227353415130828	520	129
ABHD17B	chr9	71910995	71911495	0.722019035436386	0.728964916273701	790	131
ABHD17C	chr15	80695060	80695560	0.100437230101114	0.0968247876308693	907	122
ABHD18	chr4	127965005	127965505	0.650605580366866	0.634192650327543	770	131
ABHD2	chr15	89087899	89088399	0.579511184754283	0.584413000519804	841	131
ABHD3	chr18	21704555	21705055	0.550992128613049	0.533382756572836	853	131
ABHD4	chr14	22597987	22598487	0.280295309447695	0.259611918230603	691	131
ABHD5	chr3	43690632	43691132	0.586410946094053	0.585039106112058	773	130
ABHD6	chr3	58237251	58237751	0.333269527530552	0.343925150752823	1151	130
ABHD8	chr19	17303223	17303723	0.283991362311473	0.253428793466071	314	123
ABI1	chr10	26860837	26861337	0.700779213350148	0.698467386912899	579	131
ABI2	chr2	203327988	203328488	0.396981481122124	0.388224924803619	552	120
ABI3	chr17	49209976	49210476	0.241761463540333	0.218682036699259	521	90
ABI3BP	chr3	100993240	100993740	0.0222315163303512	0.0164112031863388	636	55
ABL1	chr9	130835004	130835504	0.482117064209102	0.485202164883445	599	129
ABL2	chr1	179229434	179229934	0.103898265501823	0.105234757562314	944	129
ABLIM1	chr10	114526676	114527176	0.156552494219607	0.134168526986643	1022	116
ABLIM2	chr4	8158582	8159082	0.0923837034005036	0.0876523534595313	1566	120
ABLIM3	chr5	149141196	149141696	0.0587777069045458	0.0551268169740548	1186	117
ABO	chr9	133274964	133275464	0.00212864870582496	0.001346172880408	413	36
ABR	chr17	1229430	1229930	0.0542826094709152	0.0532582146887796	820	79
ABRA	chr8	106769994	106770494	0.0103688480860199	0.00971385819966642	296	32
ABRACL	chr6	139028431	139028931	0.372974668765559	0.378137930491091	1258	130
ABT1	chr6	26596692	26597192	0.278004186412487	0.276745989504125	362	128
ABTB1	chr3	127672687	127673187	0.220601290938837	0.22457754944985	1052	128
ABTB2	chr11	34357758	34358258	0.28922007615478	0.257976429857706	1254	128
ACAA1	chr3	38136992	38137492	0.529711405074934	0.526669490126749	594	131
ACAA2	chr18	49813631	49814131	0.67973803433751	0.675900166954922	961	131
ACACA	chr17	37406561	37407061	0.671444537098385	0.686372616388108	432	131
ACACB	chr12	109139146	109139646	0.0022668737271232	0.00158621161495038	256	14
ACAD10	chr12	111685802	111686302	0.66051314036315	0.667663810132119	627	131
ACAD11	chr3	132659881	132660381	0.791115344222112	0.77547407503522	691	131
ACAD8	chr11	134253289	134253789	0.703556497231641	0.699334658167658	882	131
ACAD9	chr3	128879239	128879739	0.652359036051772	0.644918079593223	726	131
ACADL	chr2	210225241	210225741	0.0346895533242134	0.0285730028957067	654	64
ACADM	chr1	75724096	75724596	0.716222321916283	0.710069720762759	599	131
ACADS	chr12	120725487	120725987	0.162675412145441	0.138270351919039	679	127
ACADSB	chr10	123008662	123009162	0.664339668297458	0.668585187119891	1000	131
ACADVL	chr17	7219580	7220080	0.425193955300115	0.404284862843608	353	131
ACAN	chr15	88803192	88803692	-8.75090333547467e-05	-9.562610881822e-05	138	8
